Object,Teff,Lum,Distance,Parallax,Av,logg,[Fe/H]
HIP_34670,4350.515772130311,126.08936713259855,99.81828828154477,10.32,0.0036185947106919,1.6978175790154646,-0.0751151115799336
HIP_47965,3549.174143671989,1493.0299588993669,180.02255149641053,5.9,0.0044486635344721,0.0938453268293022,-0.1500616341701189
HIP_10155,3545.685346242972,1008.9876974424284,196.78037881822303,5.84,0.0257363080716225,0.4055324833310063,-0.0655937119121374
HIP_44824,3865.79777818406,873.6804172950372,161.0567049856777,5.82,0.0052332725252243,0.6484761045508058,-0.0701297964318734
HIP_114489,3248.6765514640138,3260.5901266799274,229.83443402041652,5.8,0.0151271944721937,0.0824975413806532,-0.0200460007818444
HIP_24738,3444.8154776357114,1724.9093613017271,180.20703769436412,5.79,0.0519231936459691,0.0620244061432231,-0.1218159232023421
HIP_115022,3641.613909895532,1425.2931190737056,172.7115728131992,5.79,0.0165931586340189,0.1963897708813702,-0.1296460137368062
HIP_13495,3333.6668089788877,2223.164190707955,232.26294043863797,5.77,0.0526255181190314,0.2473402091385583,-0.0376602666955672
HIP_23840,3530.0439912080765,1476.2528776112033,176.37643580485874,5.77,0.0049647886332647,0.1036362982546608,-0.1564188429369069
HIP_9234,3018.8888795359526,5969.560143599058,174.2160348214087,5.74,0.0209530869544883,-0.4421922240514728,-0.1234899990409678
HIP_106642,3225.0420340627898,5707.680063943636,174.82518123772425,5.72,0.014414370039293,-0.4123823567271936,-0.1237894155284559
HIP_33878,3693.037676140666,1381.2567124182226,231.6284453694981,5.71,0.0088532851988892,0.4196320285382153,-0.0230900000526846
HIP_101984,3665.40912091732,1099.388359563817,188.1555051422612,5.62,0.0259715206369768,0.4208416701764772,-0.0585091176308236
HIP_53907,3827.721916139126,1067.8814159109272,180.0131411792136,5.58,0.0040323852372181,0.4223708953214604,-0.0078032432386235
HIP_102624,3582.47545145452,1871.6565360932632,159.46274333322623,5.57,0.0195494949419164,0.1468768148931589,-0.0139737140747231
HIP_50333,3709.170993044973,836.4641583409176,202.3194652308935,5.57,0.003872795859852,0.5394996591661902,-0.0479774479487106
HIP_98583,3656.247250351589,958.9204073542072,196.81618464345723,5.55,0.0092192839712194,0.4507543174031703,-0.1762668049859328
HIP_9326,3680.581975139212,914.5332743208476,206.79935000208923,5.54,0.0050208956774436,0.1279946700392313,-0.0733867738452621
HIP_82833,3200.1686930656438,5210.298536709504,357.4522069332754,5.54,0.1690462881032173,-0.499,-0.2479978844518428
HIP_97629,2317.2411240730435,10833.626960787497,161.8891916377687,5.53,0.0147106296324696,-0.499,-0.087741782909847
HIP_60122,3711.3334086025134,860.1415866323499,192.61825322966072,5.53,0.0043142764891186,0.4311032737336537,-0.1443253280445929
HIP_61022,2907.508000023663,5523.462966156629,216.63081913493255,5.53,0.004974898778167,-0.4462916709548006,-0.0166803548380167
HIP_22730,3699.7334770741872,898.6669605158366,186.61872789886323,5.52,0.0355104753156889,0.6203319718218396,-0.008166907321631
HIP_97365,3632.107071783539,3458.839828279287,170.59495645422635,5.49,0.0225047153885689,0.0379746905226632,-0.054174237079365
HIP_98031,2530.731445555575,6670.977918422582,181.0267512192848,5.44,0.0086500850479847,-0.499,-0.1542523354470559
HIP_67665,3565.787073690444,1689.5783603658829,171.7528832508679,5.43,0.0047956805043654,0.1670085610541454,-0.0968404332666406
HIP_85934,3446.3833264878485,1281.3612175651451,234.43053022550092,5.42,0.0470132051725375,0.237658385355906,-0.0599775090381545
HIP_22678,4234.050542508485,967.0305840082066,187.3162615545598,5.42,0.1061268751537309,0.8981374575248533,-0.1114890500812856
HIP_73764,3335.547022148967,2185.125091615299,230.37041965186827,5.4,0.0609939124376649,-0.0887552187017979,-0.1495892317792391
HIP_98500,3468.331140631344,1065.801482015897,214.2518014013648,5.4,0.0109790903677859,0.1799670316333026,-0.1617562650289833
HIP_56127,3957.465424574912,589.1351611664978,153.29464361312083,5.4,0.0038436866437483,1.063936292143841,-0.0080318906168604
HIP_41037,4023.880554735661,13593.109391502663,185.5287615530171,5.39,0.0102265729891237,-0.1174143704529635,-0.1585311019488811
HIP_79664,4849.003795119934,1461.61255050446,201.80707379646688,5.37,0.0416794730376839,0.6647669603950712,-0.1789596194127704
HIP_109102,3856.551136908238,914.587206232668,206.17835147139988,5.36,0.0208323619716637,0.5486470305269515,-0.1448060137675915
HIP_47723,3684.4433307647705,804.5898710980007,187.2215358334574,5.34,0.0037107473741945,0.5278103656049238,-0.0453307340295754
HIP_104451,2961.9453087076545,10191.207621332947,187.61726347355744,5.33,0.010502197098736,-0.499,-0.1728105529638005
HIP_104974,3552.704834206961,1649.9989481451962,212.2667476214588,5.33,0.0115400023503004,0.2107056087654468,-0.0554951501991836
HIP_103227,4545.633980445564,1518.6937961234582,180.9936352362473,5.33,0.006415385319787,0.6945932379269433,-0.1530405166034516
HIP_114939,3449.0982805669773,1942.8342348484784,164.07462973804655,5.32,0.0062789890115807,0.1476788590328484,-0.0220552613799051
HIP_48615,3807.281557287861,870.2712290026894,178.66507354971628,5.31,0.0049025528940918,0.7619908757428031,-0.0581294261925556
HIP_2900,3778.742458506895,801.0305562638706,189.03591818736257,5.29,0.0141884323701059,0.6797290466238581,-0.1317031678750111
HIP_27229,3355.973634773327,1629.6057876880784,234.3950987809909,5.28,0.0051679494067715,0.0923455759460276,-0.0937308104558533
HIP_117020,3660.024667602265,1163.7192694067464,195.1459827542156,5.27,0.009705227007434,0.4190429775576776,-0.0349838360690813
HIP_76307,3706.032985007332,1072.092073755742,200.318949636564,5.27,0.0067335592851641,0.3784965695638034,-0.1254301424974518
HIP_85302,3424.875217827502,1576.6237612598754,219.6963830731386,5.26,0.0360003418061342,0.1300658155734222,-0.06384367641092
HIP_109937,4256.898271758109,1455.9212867259043,201.9949502434293,5.25,0.0192811666177092,0.6543253213228217,-0.1230366457444001
HIP_70401,2440.016035158187,6510.81923411457,157.44406937029314,5.24,0.0057344735112052,-0.499,-0.0681807219150275
HIP_75207,3471.952358854469,1081.1692887928443,227.32245282360847,5.21,0.0929017261085654,0.2339181348966832,-0.1205130052243815
HIP_30679,5072.91548504727,108.29166774482584,351.84733478799654,2.35,0.0588210157569722,1.223286649651453,-0.2912154994336942
HIP_12086,3599.9916813522577,1335.7963182543658,208.51587070673276,5.16,0.0364052376617156,0.2529242942670722,-0.1181146064235756
HIP_102720,3164.2966212474857,2689.474144503524,247.0817220100533,5.15,0.0307523929360355,-0.1901204154149667,-0.0962213091036323
HIP_8240,3612.575912475586,934.3794274437092,194.5525342364914,5.14,0.0042827664603531,0.3670291883397469,-0.1496744060323798
HIP_117887,3409.5774823834654,1579.513067398775,183.30798188042343,5.12,0.0070581257268298,0.1978483099927706,-0.0003498276833872
HIP_9171,3264.677157998085,1696.3966286396164,199.12994723690383,5.11,0.0202720325142687,0.0326967362701875,-0.1025983606317706
HIP_29919,3421.325424145907,3119.031000263229,210.28395935080636,5.11,0.0178640727567299,-0.1122650046460629,-0.1827653717375505
HIP_35626,3570.167714568088,895.6790937331341,213.4257384783972,5.1,0.0067222164173955,0.4669893494939749,-0.0929284232014571
HIP_91494,3621.1811826343182,1013.9715860460284,196.078435039117,5.1,0.0243808986601132,0.3539117076509823,-0.1333925865137809
HIP_80197,3606.9404232501984,1166.4959046994436,198.07665213138893,5.09,0.0090091760721356,0.2709613147499432,-0.1097440069509651
HIP_99082,2800.082495212555,7335.649926706929,197.3104279896216,5.07,0.0370678722169778,-0.499,-0.0900222439959451
HIP_97032,3314.26539789245,1352.8764608286806,244.53916203338588,5.07,0.0125685739424544,-0.1021843588636848,-0.2006155276458983
HIP_74633,3311.9572825497016,824.1753078749615,195.3634895738577,5.06,0.0406827974450872,0.4524926159653297,-0.008230806587284
HIP_33779,3623.232726440619,1558.8361341294492,220.84005786596688,5.05,0.0063614985661718,0.2631974512376809,-0.1709134730612559
HIP_85258,4299.97200258309,5742.70393404676,217.8149210482501,5.05,0.0499126245996985,0.0867209244197493,-0.1776775395328795
HIP_89981,3663.961177023593,1358.4110762842,201.8634737651087,5.03,0.0086251875736697,0.2578532055890026,-0.1514598274266977
HIP_25194,3546.610815301537,821.7818669767742,186.44874085835505,5.02,0.0038729281727259,0.432635416196673,-0.118485853446532
HIP_22667,3473.1601424887776,2950.4951019445834,172.02890407951915,5.01,0.0736461229805938,0.1971068424823094,-0.0423224581998292
HIP_90023,3717.558979948517,696.518265392156,184.1347826307365,5.01,0.0256026367502668,0.6842349242138415,-0.0726612232153843
HIP_64460,3349.076271260856,1195.75619886121,251.81464089890792,5.0,0.0074468797007615,0.3132980614148479,-0.0077266111644775
HIP_77907,3603.95258476492,1212.8288122289011,200.40081079521156,4.99,0.0065089147338675,0.2681286041936124,-0.136178587181244
HIP_8,2541.1428237101063,6927.831117853832,604.6860130243493,4.98,0.0396475614583787,-0.499,-0.2581106659658482
HIP_85820,3178.156301379204,17480.378116772834,749.9390614556341,4.98,0.0906927620832985,-0.499,-0.5281405042335816
HIP_50371,4148.540668864735,3509.8292101321526,201.61290167521736,4.96,0.0285844947461607,0.173022609062726,-0.1750872243495506
